filename,label
1.png,0
2.png,0
3.png,1
4.png,1
5.png,1
6.png,0
7.png,1
8.png,1
9.png,0
10.png,0
11.png,0
12.png,0
13.png,1
14.png,1
15.png,1
16.png,0
17.png,1
18.png,1
19.png,1
20.png,1
21.png,1
22.png,1
23.png,1
24.png,1
25.png,0
26.png,0
27.png,1
28.png,1
29.png,1
30.png,1
31.png,0
32.png,0
33.png,1
34.png,1
35.png,1
36.png,1
37.png,1
38.png,1
39.png,1
40.png,1
41.png,0
42.png,0
43.png,0
44.png,0
45.png,1
46.png,1
47.png,1
48.png,1
49.png,1
50.png,1
51.png,0
52.png,0
53.png,0
54.png,1
55.png,1
56.png,1
57.png,0
58.png,1
59.png,1
60.png,1
61.png,1
62.png,1
63.png,0
64.png,1
65.png,1
66.png,0
67.png,1
68.png,1
69.png,1
70.png,1
71.png,0
72.png,0
73.png,1
74.png,1
75.png,1
