filename,label
1.png,0
2.png,0
3.png,1
4.png,1
5.png,1
6.png,1
7.png,1
8.png,1
9.png,0
10.png,0
11.png,0
12.png,0
13.png,0
14.png,1
15.png,0
16.png,0
17.png,0
18.png,1
19.png,1
20.png,0
21.png,1
22.png,0
23.png,1
24.png,1
25.png,1
26.png,0
27.png,0
28.png,0
29.png,1
30.png,1
31.png,1
32.png,0
33.png,1
34.png,0
35.png,1
36.png,0
37.png,1
38.png,0
39.png,0
40.png,1
41.png,0
42.png,1
43.png,0
44.png,1
45.png,1
46.png,0
47.png,1
48.png,1
49.png,0
50.png,0
51.png,1
52.png,0
53.png,0
54.png,0
55.png,1
56.png,0
57.png,0
58.png,0
59.png,1
60.png,0
61.png,1
62.png,0
63.png,1
64.png,0
65.png,1
66.png,1
67.png,1
68.png,1
69.png,1
70.png,1
71.png,1
72.png,1
73.png,1
74.png,0
75.png,0
76.png,1
77.png,1
78.png,1
79.png,1
80.png,0
81.png,1
82.png,0
83.png,1
84.png,1
85.png,1
86.png,0
87.png,0
88.png,0
89.png,1
90.png,1
91.png,1
92.png,1
93.png,0
94.png,1
95.png,1
96.png,1
97.png,1
98.png,1
99.png,0
100.png,1
101.png,1
102.png,1
103.png,1
104.png,1
105.png,0
106.png,1
107.png,0
